id,description,budget_link,info_link
Capital Improvements,,,
Capital Improvements / City - Bonds,Funded with debt ,,
Capital Improvements / City - Bonds / Drainage,,,
Capital Improvements / City - Bonds / Public Buildings,,,
Capital Improvements / City - Bonds / Recreation/Parks,,,
Capital Improvements / City - Bonds / Sidewalks,,,
Capital Improvements / City - Bonds / Streets,,,
Capital Improvements / City - Cash,Funded with revenue ,,
Capital Improvements / City - Cash / Administrative/Program Costs,,,
Capital Improvements / City - Cash / Drainage,,,
Capital Improvements / City - Cash / Normal Capital and Reserves,"Infrastructure replacement, maintenance, improvements ",,
Capital Improvements / City - Cash / Public Buildings,,,
Capital Improvements / City - Cash / Recreation/Parks,,,
Capital Improvements / City - Cash / Sidewalks,,,
Capital Improvements / City - Cash / Streets,,,
Capital Improvements / Parish - Cash,Funded with revenue ,,
Capital Improvements / Parish - Cash / Bridges,,,
Capital Improvements / Parish - Cash / Drainage,,,
Capital Improvements / Parish - Cash / Public Buildings,,,
Capital Improvements / Parish - Cash / Widening/Realignment/Reconstruction,,,
Community,"Recreation, Culture, Health ",,
Community / Health Unit,Louisiana Dept. Health ,,
Community / Parks & Recreation,,,
Community / Parks & Recreation / Arts & Culture,,,
Community / Parks & Recreation / Arts & Culture / Administration,,,
Community / Parks & Recreation / Arts & Culture / Heymann Performing Arts Center,,,
Community / Parks & Recreation / Arts & Culture / Lafayette Science Museum,,,
Community / Parks & Recreation / Arts & Culture / Nature Station,,,
Community / Parks & Recreation / Arts & Culture / Maintenance,,,
Community / Parks & Recreation / Golf Courses,,,
Community / Parks & Recreation / Golf Courses / Hebert Muni Golf Course,,,
Community / Parks & Recreation / Golf Courses / Vieux Chenes Golf Course,,,
Community / Parks & Recreation / Golf Courses / Wetlands Golf Course,,,
Community / Louisiana Cooperative Extension Service,LSU Ag Center Office for Lafayette Parish,,
Community / Parks & Recreation / Athletic Programs,,,
Community / Parks & Recreation / Athletic Programs / Other Programs,,,
Community / Parks & Recreation / Athletic Programs / Swimming,,,
Community / Parks & Recreation / Athletic Programs / Tennis,,,
Community / Parks & Recreation / Athletic Programs / Therapeutic Recreation,,,
Community / Parks & Recreation / Centers & Other Programs,,,
Community / Parks & Recreation / Director's Office,,,
Community / Parks & Recreation / Operations & Maintenance,,,
Government,,,
Government / Chief Administrative Officer,,,
Government / Chief Administrative Officer / Le Centre International,,,
Government / Chief Administrative Officer / Human Resources,,,
Government / Chief Administrative Officer / Mailroom,,,
Government / Chief Administrative Officer / 311,,,
Government / Community Development & Planning,,,
Government / Community Development & Planning / Development,,,
Government / Community Development & Planning / Planning,,,
Government / Community Development & Planning / Codes,,,
Government / Community Development & Planning / Compliance,,,
Government / Community Development & Planning / Alcohol & Noise Control,,,
Government / Community Development & Planning / Permitting,,,
Government / Community Development & Planning / Grants Administration,,,
